title,opening_weekend,foreign_gross,release_date,posts_score,comments_score
Miss Pettigrew Lives for a Day,2490942,4411239,2008-03-07,0,0
The LEGO Movie,69050279,211000000,2014-02-07,24524,137254
All the Best,96054,29094,2009-10-16,8389,27637
Identity Thief,34551025,39458090,2013-02-08,126,1190
To the Limit,1483,1891314,2008-06-13,1139,27030
Spring Breakers,263002,17600000,2013-03-15,7902,53533
The Wedding Ringer,20649306,11000000,2015-01-16,127,419
Two Lovers,94986,13154609,2009-02-13,812,1291
The Tale of Despereaux,10103675,36070820,2008-12-19,4,24
Takers,20512304,11310975,2010-08-27,545,3632
Hope Springs,14650121,50745040,2012-08-08,519,830
Step Up All In,6469857,71261262,2014-08-08,91,426
La Danse: Le Ballet de L'Opera de Paris,14000,540953,2009-11-04,0,0
Talento de Barrio,36118,1581656,2008-10-10,0,0
Genghis Kahn: To the Ends of the Earth and Sea,3332,11163609,2008-02-21,0,0
The Book of Eli,32789494,62272696,2010-01-15,728,10223
Side Effects,9303145,31200000,2013-02-08,2125,9335
Swing Vote,6230669,1344446,2008-08-01,26,85
The Unborn,19810585,33843640,2009-01-09,327,461
Jack Reacher,15210156,138269859,2012-12-21,5473,22641
Into the Woods,31051923,76300000,2014-12-25,7113,131154
Dr. Seuss' Horton Hears a Who!,45012998,142608575,2008-03-14,0,0
Pulling Strings,2467168,2048517,2013-10-04,187,680
Red Dawn,14276668,,2012-11-21,1971,5824
Fired Up,5483778,1367811,2009-02-20,85,365
Avatar: Special Edition,4007750,22469358,2010-08-27,14,36
Cold Souls,63302,224944,2009-08-07,194,671
The White Ribbon,59848,17096582,2009-12-30,568,2616
Olympus Has Fallen,30373794,62100000,2013-03-22,4904,7805
No Regret,4181,289756,2008-07-25,4107,28262
Titanic 3D,17285453,285666656,2012-04-04,449,931
Warm Bodies,20353967,50600000,2013-02-01,3001,7629
Yes Man,18262471,125550661,2008-12-19,5386,14892
Billu,512124,7279869,2009-02-13,0,0
"Precious: Based on the Novel ""Push"" by Sapphire",1872458,16081309,2009-11-06,0,6
Elegy,104168,11312705,2008-08-08,2,0
Paper Heart,219494,22909,2009-08-07,571,2669
A Girl Cut in Two,18658,8078879,2008-08-15,685,4121
Fast Five,86198765,416300000,2011-04-29,1614,8015
Happy Feet Two,21237068,86400000,2011-11-18,108,498
Michael Jackson's This Is It,23234394,189092572,2009-10-28,773,3241
Bandslam,2231273,7014035,2009-08-14,1,8
Iron Man 3,174144585,806426000,2013-05-03,6319,66259
The Time Traveler's Wife,18623171,37929566,2009-08-14,713,3823
Argo,19458109,96300000,2012-10-12,6813,21594
Whiteout,4915104,7565229,2009-09-11,32,51
Love and Other Drugs,9739161,70453003,2010-11-24,254,1283
Battle: Los Angeles,35573187,128266925,2011-03-11,490,4045
Tyler Perry's A Madea Christmas,16007634,853000,2013-12-13,14,1681
August: Osage County,179302,36450127,2013-12-27,2284,50599
How About You,6022,675950,2008-11-14,10385,75705
